date,tickets_created,tickets_resolved,net_change,carried_overnight,day_of_week,median_tat_minutes,p90_tat_minutes,resolved_to_created_ratio,open_end_of_day,tickets_created_prev_week,wow_ratio
2022-06-26,1379,1366,13,13,Sunday,30.0,42.0,0.9906,13,,
2022-06-27,2128,2114,14,27,Monday,30.0,43.0,0.9934,27,,
2022-06-28,1991,1994,-3,24,Tuesday,30.0,43.0,1.0015,24,,
2022-06-29,1835,1844,-9,15,Wednesday,30.0,42.0,1.0049,15,,
2022-06-30,1901,1902,-1,14,Thursday,30.0,43.0,1.0005,14,,
2022-07-01,1653,1654,-1,13,Friday,30.0,42.0,1.0006,13,,
2022-07-02,1328,1328,0,13,Saturday,29.0,42.0,1.0,13,,
2022-07-03,955,961,-6,7,Sunday,29.0,43.0,1.0063,7,1379.0,0.6925
2022-07-04,1317,1308,9,16,Monday,30.0,43.0,0.9932,16,2128.0,0.6189
2022-07-05,1295,1292,3,19,Tuesday,30.0,43.0,0.9977,19,1991.0,0.6504
2022-07-06,1277,1281,-4,15,Wednesday,30.0,43.0,1.0031,15,1835.0,0.6959
2022-07-07,1166,1166,0,15,Thursday,30.0,42.0,1.0,15,1901.0,0.6134
2022-07-08,1053,1058,-5,10,Friday,31.0,43.0,1.0047,10,1653.0,0.637
